model,best_epoch,test_wss_approximation_error_mean,test_wss_approximation_error_ci_low,test_wss_approximation_error_ci_high,test_wss_rmse_mean,test_wss_cosine_similarity_mean,test_pressure_rmse_mean
Dense MLP,120,0.8118863381028634,0.7934786010430697,0.8293468291764573,19.30289130891214,0.7976840487275839,818.3429559589141
MeshGNN,82,0.7611338461334413,0.7342501802715132,0.7899207098516531,17.96758919119884,0.8154483657731552,886.5048835041711
