split,sample_id,subset,wss_approximation_error,wss_rmse,wss_nmae,wss_cosine_similarity,pressure_rmse,pressure_nmae,pressure_r2
val,sample_1648,single,0.8775792429867527,16.110413108662947,0.7626266297868038,0.8365544986068713,1246.6827711499175,0.0069434742334917665,-2.4159424819890525
val,sample_1439,single,0.8425326224229404,32.184798586709114,0.7348650600318104,0.7164571675287736,1585.0827447947008,0.008884177613243793,0.613114087710203
val,sample_0467,single,0.7487471667195984,15.526643140260253,0.5973210436484796,0.8203116208567838,722.4985432348461,0.0040752877064241235,0.45322509927245525
val,sample_0882,single,0.641285033660549,22.398004025295187,0.6373101469391134,0.769237133596282,665.807384929456,0.0034566578516671245,0.8964301712376431
val,sample_0390,single,0.8665771059700688,33.940532592207944,0.752739293839479,0.7366785796538281,1428.7206980240662,0.00807542919228384,0.6450883235787395
val,sample_1611,single,0.773095320254227,24.565498161492783,0.7527947568478556,0.7318678201049668,552.1917776795898,0.0028945397476241768,0.9031024617410697
val,sample_0293,single,0.7523243651994939,28.805841799321794,0.6956412974695532,0.7459589724366732,971.8423471870647,0.005443124782763756,0.8247267531876412
val,sample_0705,single,0.8488719520991076,22.264097028891786,0.8043242826110973,0.7446725522368473,293.4093842186673,0.0016107323390446675,0.948880550909677
val,sample_0122,single,0.783454563722827,26.484995357879068,0.7380524206833446,0.7515234158223749,708.7261306119817,0.00400311447194547,0.8768341798417151
val,sample_1082,single,0.6965927005529807,25.62197765190932,0.7151229827400674,0.7918405036070171,658.2656029682411,0.0036529887346212343,0.9154697211918722
val,sample_0545,single,0.6939219565153414,17.788632486328694,0.6172498387541004,0.7976747981410286,403.57491695324006,0.0019676455021626453,0.9236412139410843
val,sample_0729,single,0.8506816007260148,18.308460592842806,0.8176310136121288,0.7259719881756667,785.9566148237838,0.004577298885621933,0.29186702146505217
val,sample_1277,single,0.6943787173858077,18.860377648472134,0.5753297615442902,0.7849438110238744,277.35031899334695,0.001386819009113072,0.961989671188708
val,sample_0709,single,0.8382653626446382,12.064109263442086,0.7059588581239516,0.8827340677680554,1371.9939723452023,0.0075540002568231296,-7.71945034344119
val,sample_1324,single,0.8042908841200238,32.59114870468976,0.6969214082094768,0.816485881951331,1411.770397976523,0.00785348514118027,0.7001988679364874
val,sample_1286,single,0.7276277933219686,29.06559699800695,0.7539098258301327,0.7124043389916245,1234.2050995692562,0.006553152206714997,0.7263324946739729
val,sample_1529,single,0.7748666061494968,27.40944030767611,0.6981081501044821,0.7408107654270503,826.4899237854933,0.004769724719998597,0.844392663981289
val,sample_1681,single,0.8453652245722129,18.555594882750164,0.8206520724156066,0.750716444879173,815.1409952036928,0.0045980378093713635,0.20305448643825874
val,sample_0358,single,0.7736009004691459,19.891595785522213,0.6676450526618326,0.7837142169356862,336.9441684667705,0.0016307573167237443,0.9295702066653931
val,sample_0334,single,0.7678201359037368,18.198669168772025,0.682332558283179,0.8027636132780075,763.7975838129913,0.004370939867571163,0.4693895821143278
val,sample_1345,single,0.6866875746335233,19.314171245960186,0.6680503448623497,0.767747761063824,443.17668088215015,0.0023384545280009986,0.9221819971584355
val,sample_0640,single,0.6950352635686807,12.13509876806965,0.4779380533741564,0.9132726948655577,1169.152806097751,0.006508216599916906,-1.7685346157334987
val,sample_1281,single,0.7194434938755836,23.88082838965483,0.6624618136462518,0.7813514376033459,753.3389721272334,0.004097946724951816,0.8860075170917241
val,sample_0584,single,0.8237092627522945,14.296125654598839,0.7341720858160725,0.8777512058849276,1554.9558212131387,0.008689811466236149,-4.813024050025212
test,sample_1826,single,0.8447111255372193,22.507330187047927,0.7264332320334839,0.7544678396836355,292.38528849159684,0.001481178281373414,0.9548545025315588
test,sample_0275,single,0.7999071140459032,15.686145787459958,0.6423668294731282,0.7253330290235065,870.5081924408191,0.004858238263647067,-0.013191753801418571
test,sample_1811,single,0.6237980522634266,20.83670284179123,0.5970796325585355,0.8458869620099326,620.2089419294722,0.0028896918857935156,0.8894109728079533
test,sample_1768,single,0.7003574399857058,14.548489411489317,0.551405145609295,0.904469274238482,1086.3821282912693,0.006156981671999013,-0.34187303209515174
test,sample_0387,single,0.7233005559034674,12.865933750547793,0.5227708808854928,0.8753007128155619,1261.6167286138766,0.006879492907869477,-2.019814912908337
test,sample_1914,single,0.7693027752849847,18.116825221652867,0.7515954529989773,0.7940539364944578,815.5366543520273,0.0047373774714640346,0.5716514061921255
test,sample_0314,single,0.7742754199496055,17.19257374483269,0.6256748495982614,0.7711374649225166,616.9799284339623,0.003627731727581833,0.7246887180537308
test,sample_0621,single,0.9187574535486989,13.474712022759022,0.6437555292871666,0.9089857943073731,1319.5695285310553,0.007322717767751376,-6.972814525973746
test,sample_0055,single,0.6873921129133014,12.090937231462327,0.46791805993164215,0.8892015081757757,1098.2515460938587,0.005946051519770772,-1.0650881192733372
test,sample_1877,single,0.7769921001872351,19.780615511900073,0.7166989572438213,0.7925970825678381,359.3811743027362,0.0019271672693863913,0.9322889203250657
test,sample_1797,single,0.7564569672659514,12.873928554323943,0.5503425008284789,0.8984231210850255,1504.4533464758624,0.008399834160699442,-4.0709077186924
test,sample_1695,single,0.7020205376544966,15.162684583398985,0.6184581490511124,0.8440122669026336,1058.1789062399332,0.0057797252549642245,-0.0850238063170976
test,sample_1211,single,0.6741462165128667,14.361704030263171,0.5903997175478971,0.828579103420276,810.5219597937873,0.004480902343209187,0.33966228634634676
test,sample_0215,single,0.7337360883736774,11.094070079457529,0.5293328008654369,0.8654368324597018,1299.3912153271147,0.007177521779590276,-4.503310298808201
test,sample_1725,single,0.9161678499046435,29.262523225560834,0.7238487726425827,0.7376769093929396,816.0075935852066,0.004524548456870691,0.8365249920747271
test,sample_1886,single,0.7907227559694794,13.200907265234378,0.5415872977072459,0.9067046252840253,1218.896003534695,0.006827410938390239,-3.608591871366923
test,sample_1360,single,0.81026025816364,25.29044028595722,0.7047966620076908,0.7418567102350887,721.9375945675725,0.003977542307353516,0.8579652655418999
test,sample_0177,single,0.81199515470302,17.627600956634726,0.7355842215900293,0.7901045833695657,901.5578930958155,0.005286769477864398,0.1698134654250718
test,sample_1095,single,0.6729501039040579,18.828569126657545,0.6257047562750833,0.756198887995334,559.045703547488,0.002547151160344549,0.8964901076863363
test,sample_0360,single,0.7402802383729061,13.271072003126044,0.485066263766152,0.9246639553442413,1275.0583452252674,0.007064014304068045,-3.21357685375711
test,sample_0338,single,0.7454876175009114,22.89918497374245,0.633024987694705,0.7527852535699785,557.3621090880874,0.002779796454752325,0.9054653076083161
test,sample_0216,single,0.7985653754012857,20.840807047501915,0.7680369611672774,0.7043049740703933,646.3042618667253,0.0032425468476981645,0.7146062935949473
test,sample_0264,single,0.7444184856696556,27.109459650799458,0.6916361075352271,0.7827957876412738,1027.670724393354,0.005861756888053737,0.7712822589692022
test,sample_0053,single,0.7512105081864496,22.29892309517076,0.676717955100361,0.775784163546165,538.9114358785225,0.0020681252089800395,0.8726480089327295
