split,sample_id,subset,wss_approximation_error,wss_rmse,wss_nmae,wss_cosine_similarity,pressure_rmse,pressure_nmae,pressure_r2
val,sample_1648,single,0.8397007050992381,15.415046965722835,0.7610085086160128,0.8503833386273058,996.1806167771507,0.005584235126120712,-1.1810961360972976
val,sample_1439,single,0.8878200079625909,33.91477953144767,0.8653614582609848,0.624643097225284,1680.8582530494155,0.009826929749773604,0.5649479481866889
val,sample_0467,single,0.7944363684197052,16.474092375051946,0.7377390411656052,0.7826415805592775,754.4586353515726,0.004216180465721577,0.40378144679521444
val,sample_0882,single,0.8000845695153691,27.94435620349678,0.7395790064841912,0.7789956745124763,969.1598488983205,0.0052312106753814305,0.7805544040131406
val,sample_0390,single,0.887671516722692,34.7667205110099,0.875674862457436,0.6572358324547873,1471.920843710284,0.008491216487657783,0.6233009495731121
val,sample_1611,single,0.8340282398648863,26.501672764357806,0.8526842193060397,0.6810306209569207,652.6303246155361,0.0037179424087869796,0.8646471603361044
val,sample_0293,single,0.8522846428582332,32.633233384187434,0.7541845582818479,0.7400647677501399,1288.602599768716,0.007533876943991163,0.6918501221925191
val,sample_0705,single,0.825684432481413,21.65593794747663,0.836392761540902,0.72353809459804,575.3827163021115,0.003284126981853605,0.8034143606624656
val,sample_0122,single,0.8579661277167222,29.003888626059446,0.772575195293295,0.7385813614834946,978.6589376693055,0.005374998150758626,0.7651470359819641
val,sample_1082,single,0.8094150749435585,29.77179483055038,0.7138607543030873,0.788009792890973,1379.7137562374771,0.007934143664974157,0.628646119825746
val,sample_0545,single,0.7986055111230504,20.47218682957261,0.7349118037961776,0.7901804363425986,499.6217287267602,0.002531909007954062,0.882971047236598
val,sample_0729,single,0.8640364593974768,18.59588529263738,0.849299686681703,0.7490430143859408,842.3333962533678,0.004652803306908642,0.18663456449748483
val,sample_1277,single,0.8347594872604206,22.67333197458722,0.781140608451173,0.709579457637023,413.6607498346429,0.0021246442146855235,0.9154462415775111
val,sample_0709,single,0.8247608620654986,11.869755807132066,0.76728878809788,0.9332234003088428,1420.1585622680168,0.007547295771901211,-8.342398218920842
val,sample_1324,single,0.8487309854865235,34.39193245181841,0.7394452326811141,0.8067556438404078,1634.058620191248,0.0092461235938889,0.5983568260378125
val,sample_1286,single,0.8655562792349408,34.57524605606292,0.8708843140700224,0.6752861492885835,1218.9530129047257,0.006799557780185789,0.7330545698505256
val,sample_1529,single,0.8485150106778543,30.014613290554838,0.7737838990366447,0.7079245294745319,1055.706135973581,0.006237497935775159,0.74611266739614
val,sample_1681,single,0.8310509805658053,18.241400135775393,0.8381592865687997,0.7762366987235414,936.2906456154145,0.005396662884392853,-0.05144008096315322
val,sample_0358,single,0.8460252106823426,21.753841683804534,0.881044474584917,0.6521689735207796,532.186002654636,0.0029806205152359618,0.8243017561214558
val,sample_0334,single,0.8260581967220498,19.579012236508635,0.8276955008795673,0.7418159615267226,593.7865845971473,0.0031863664894683495,0.6793140189717959
val,sample_1345,single,0.8103299604699391,22.791808386224577,0.7643675904547852,0.7645985834096516,507.26321027752016,0.002725038242735094,0.8980486428769868
val,sample_0640,single,0.7237825565412698,12.63701753078942,0.6028288129633145,0.8948365536377713,1043.6103635953918,0.005697983416906587,-1.205891624431107
val,sample_1281,single,0.8311752326308256,27.589592874434665,0.7934857290330323,0.7242606189309402,1407.852789729895,0.008138533578259529,0.601883814346211
